ranking_idol,appearing_idol_1,appearing_idol_2,appearing_idol_3,appearing_idol_4,event_type,start,duration,t1_cutoff,t2_cutoff,t3_cutoff
kitazawa shiho,nonohara akane,hakozaki serika,mogami shizuka,kitakami reika,theater,201708,9,151347,67477,45991
takatsuki yayoi,nakatani iku,yabuki kana,ogami tamaki,,theater,201709,11,103398,54179,43411
nanao yuriko,makabe mizuki,mochizuki anna,ibuki tsubasa,kasuga mirai,theater,201709,11,135591,56477,41397
mogami shizuka,shiraishi tsumugi,kitazawa shiho,julia,tokoro megumi,tour,201710,11,371237,137697,83660
momose rio,shimabara elena,shijou takane,shinomiya karen,handa roco,theater,201711,9,88037,44374,36350
ibuki tsubasa,sakuramori kaori,mochizuki anna,hakozaki serika,kitakami reika,tour,201711,9,207072,72108,51044
futami mami,satake minako,baba konomi,nakatani iku,kinoshita hinata,theater,201712,8,87912,41800,33099
kasuga mirai,tokugawa matsuri,nanao yuriko,emily stewart,yabuki kana,tour,201712,9,284240,79122,55386
matsuda arisa,suou momoko,amami haruka,yokoyama nao,fukuda noriko,theater,201801,7,123222,54202,40630
nikaido chizuru,tenkubashi tomoka,momose rio,tokoro megumi,,tour,201801,7,161014,68412,52578
minase iori,futami ami,takatsuki yayoi,ganaha hibiki,akizuki ritsuko,theater,201801,8,197135,69542,5152
shimabara elena,miyao miya,,,,tour,201802,9,303366,93871,59697
hoshi miki,nagayoshi subaru,tenkubashi tomoka,takayama sayoko,nikaido chizuru,theater,201803,9,317690,96836,55568
nakatani iku,nanao yuriko,matsuda arisa,,,tour,201803,8,149580,67752,52554
tanaka kotoha,tokoro megumi,kousaka umi,miyao miya,ogami tamaki,theater,201804,8,362962,103541,57721
makabe mizuki,kitazawa shiho,shiraishi tsumugi,,,tour,201804,9,394587,114120,64842
maihama ayumu,miura azusa,hagiwara yukiho,yabuki kana,maihama ayumu,theater,201805,8,102704,55400,46603
sakuramori kaori,toyokawa fuuka,baba konomi,kitakami reika,,tour,201805,9,394538,112870,67280
emily stewart,julia,kisaragi chihaya,tokugawa matsuri,toyokawa fuuka,theater,201806,8,166854,75049,51818
takayama sayoko,kousaka umi,satake minako,yokoyama nao,fukuda noriko,tour,201806,8,206680,89168,57601
nagayoshi subaru,shinomiya karen,nanao yuriko,tokoro megumi,,tour,201807,9,193671,91396,60645
yabuki kana,ibuki tsubasa,shimabara elena,satake minako,kinoshita hinata,theater,201808,9,145371,72238,52361
kousaka umi,tokoro megumi,kasuga mirai,yokoyama nao,toyokawa fuuka,tour,201808,9,276096,96842,59450
tenkubashi tomoka,kitakami reika,mogami shizuka,takayama sayoko,maihama ayumu,theater,201809,8,290383,108114,58793
sakuramori kaori,mochizuki anna,mogami shizuka,momose rio,miyao miya,tour,201809,8,343241,104320,59154
hakozaki serika,kasuga mirai,tanaka kotoha,toyokawa fuuka,matsuda arisa,theater,201810,9,249112,90199,55344
tanaka kotoha,suou momoko,shiraishi tsumugi,baba konomi,makabe mizuki,tour,201810,9,814482,188906,77432
ogami tamaki,futami mami,,,,theater,201811,8,139831,65452,51018
julia,mogami shizuka,,,,tour,201811,8,348456,106442,59420
ganaha hibiki,yokoyama nao,mochizuki anna,kasuga mirai,toyokawa fuuka,theater,201812,9,198303,76067,52463
