game,ranking_idol,event_type,year,month,duration_days,t1_cutoff,t2_cutoff,t3_cutoff,t4_cutoff,t5_cutoff,t6_cutoff
SIF,minami_kotori,token,2013,5,14,24781,15000,10000,,,
SIF,sonoda_umi,token,2013,5,14,30655,15000,10000,,,
SIF,yazawa_nico,token,2013,6,13,47472,31330,10000,,,
SIF,minami_kotori,token,2013,6,9,26333,16246,10000,,,
SIF,sonoda_umi,token,2013,7,7,26846,16800,10000,,,
SIF,kousaka_honoka,token,2013,7,12,44573,30159,10000,,,
SIF,ayase_eli,token,2013,8,10,40511,26169,10000,,,
SIF,koizumi_hanayo,token,2013,8,11,41281,27461,10000,,,
SIF,toujou_nozomi,token,2013,9,10,37162,25183,10000,,,
SIF,hoshizora_rin,token,2013,9,10,35602,23272,10000,,,
SIF,nishikino_maki,score_match,2013,10,10,104644,68940,10000,,,
SIF,ayase_eli,token,2013,10,11,42601,30910,10000,,,
SIF,minami_kotori,score_match,2013,11,10,113679,67246,10000,,,
SIF,kousaka_honoka,token,2013,11,10,36202,22696,10000,,,
SIF,koizumi_hanayo,score_match,2013,12,10,102078,64378,10000,,,
SIF,sonoda_umi,token,2013,12,11,45707,30949,10000,,,
SIF,yazawa_nico,score_match,2014,1,10,107973,72554,10000,,,
SIF,toujou_nozomi,token,2014,1,10,43459,30731,10000,,,
SIF,hoshizora_rin,score_match,2014,2,10,108188,75509,10000,,,
SIF,nishikino_maki,token,2014,2,8,40475,28302,10000,,,
SIF,yazawa_nico,score_match,2014,3,10,108790,80310,10000,,,
SIF,minami_kotori,token,2014,3,11,52407,36697,10000,,,
SIF,nishikino_maki,score_match,2014,4,10,88955,59540,10000,,,
SIF,koizumi_hanayo,token,2014,4,10,37970,23551,10000,,,
SIF,sonoda_umi,score_match,2014,5,10,101520,65091,10000,,,
SIF,kousaka_honoka,token,2014,5,11,41462,26406,10000,,,
SIF,hoshizora_rin,score_match,2014,6,10,92486,60349,10000,,,
SIF,ayase_eli,token,2014,6,10,39803,27169,10000,,,
SIF,toujou_nozomi,score_match,2014,7,10,90164,56228,10000,,,
SIF,minami_kotori,token,2014,7,11,47005,31917,10000,,,
SIF,yazawa_nico,score_match,2014,8,10,99886,63888,10000,,,
SIF,nishikino_maki,token,2014,8,11,44784,31290,10000,,,
SIF,kousaka_honoka,score_match,2014,9,10,87722,59777,10000,,,
SIF,sonoda_umi,token,2014,9,10,36938,22934,10000,,,
SIF,koizumi_hanayo,score_match,2014,10,10,88881,61588,10000,,,
SIF,hoshizora_rin,token,2014,10,11,41222,26765,10000,,,
SIF,ayase_eli,score_match,2014,11,10,89777,63548,10000,,,
SIF,toujou_nozomi,token,2014,11,10,37029,24246,10000,,,
SIF,nishikino_maki,medley_festival,2014,12,10,119431,84151,10000,,,
SIF,yazawa_nico,token,2014,12,11,43594,29754,10000,,,
SIF,minami_kotori,score_match,2015,1,10,99467,70326,10000,,,
SIF,koizumi_hanayo,medley_festival,2015,1,11,110989,77703,10000,,,
SIF,kousaka_honoka,token,2015,2,10,36205,21794,10000,,,
SIF,toujou_nozomi,score_match,2015,2,8,89461,61694,10000,,,
SIF,ayase_eli,medley_festival,2015,3,10,111729,83020,10000,,,
SIF,hoshizora_rin,token,2015,3,11,36846,21661,10000,,,
SIF,sonoda_umi,score_match,2015,4,10,90999,58529,10000,,,
SIF,minami_kotori,medley_festival,2015,4,10,112068,77831,10000,,,
SIF,nishikino_maki,token,2015,5,10,40025,26054,10000,,,
SIF,koizumi_hanayo,score_match,2015,5,11,89216,61756,10000,,,
SIF,yazawa_nico,medley_festival,2015,6,10,115237,79084,10000,,,
SIF,kousaka_honoka,token,2015,6,10,33568,21000,10000,,,
SIF,kurosawa_ruby,token,2016,10,10,87225,42645,20791,,,
SIF,toujou_nozomi,challenge_festival,2016,10,11,168695,93407,51753,,,
SIF,takami_chika,score_match,2016,11,10,136992,74771,41239,,,
SIF,nishikino_maki,token,2016,11,10,91755,40721,19304,,,
SIF,kurosawa_dia,medley_festival,2016,12,10,113403,61232,32603,,,
SIF,kousaka_honoka,challenge_festival,2016,12,11,159145,77990,42067,,,
SIF,tsushima_yoshiko,score_match,2017,1,10,130171,66628,36268,,,
SIF,ayase_eli,challenge_festival,2017,1,11,162515,82991,45811,,,
SIF,matsuura_kanan,medley_festival,2017,2,10,110329,60305,30676,,,
SIF,hoshizora_rin,token,2017,2,8,66666,24419,12100,,,
SIF,sakurauchi_riko,score_match,2017,3,10,120914,63685,34901,,,
SIF,koizumi_hanayo,challenge_festival,2017,3,11,144821,73817,40253,,,
SIF,ohara_mari,touring_rally,2017,4,10,145342,62148,120000,,,
SIF,hoshizora_rin,challenge_festival,2017,4,10,125478,63530,33012,,,
SIF,kunikida_hanamaru,score_match,2017,5,10,109866,58828,29315,,,
SIF,sonoda_umi,token,2017,5,11,87593,33426,16263,,,
SIF,watanabe_you,medley_festival,2017,6,10,103659,49924,26153,,,
SIF,yazawa_nico,score_match,2017,6,10,111956,60273,30097,,,
SIF,matsuura_kanan,token,2017,7,10,67782,25545,11565,,,
SIF,minami_kotori,friendly_match,2017,7,11,132548,67880,36854,,,
SIF,watanabe_you,score_match,2017,8,10,102050,51020,25162,,,
SIF,ayase_eli,challenge_festival,2017,8,11,126258,64591,30625,,,
SIF,tsushima_yoshiko,touring_rally,2017,9,10,182776,71091,33977,,,
SIF,kousaka_honoka,medley_festival,2017,9,10,84350,45709,23814,,,
SIF,takami_chika,token,2017,10,10,66236,25372,11693,,,
SIF,yazawa_nico,challenge_festival,2017,10,11,119045,62949,28910,,,
SIF,kurosawa_ruby,token,2017,11,10,70288,26555,12434,,,
SIF,toujou_nozomi,friendly_match,2017,11,10,108731,56346,25205,,,
SIF,yazawa_nico,score_match,2017,12,10,90758,48083,22442,,,
SIF,kunikida_hanamaru,touring_rally,2017,12,11,219047,101543,41629,,,
SIF,hoshizora_rin,friendly_match,2018,1,10,100102,50193,17557,,,
SIF,kurosawa_ruby,token,2018,1,11,71002,26822,11193,,,
SIF,koizumi_hanayo,challenge_festival,2018,2,10,103575,51545,19463,,,
SIF,ohara_mari,friendly_match,2018,2,8,95179,42807,14035,,,
SIF,nishikino_maki,score_match,2018,3,10,91360,46900,16911,,,
SIF,kurosawa_dia,touring_rally,2018,3,11,201562,83789,34263,,,
SIF,sonoda_umi,friendly_match,2018,4,10,100867,52133,18566,,,
SIF,tsushima_yoshiko,token,2018,4,10,71286,30048,13550,,,
SIF,nishikino_maki,challenge_festival,2018,5,10,98369,50425,17838,,,
SIF,takami_chika,friendly_match,2018,5,11,181448,75470,29233,,,
SIF,kousaka_honoka,challenge_festival,2018,6,10,161521,61698,21713,,,
