game,ranking_idol,event_type,year,month,duration,t1_cutoff,t2_cutoff,t3_cutoff,t4_cutoff,t5_cutoff,t6_cutoff
mltd,kitazawa shiho,theater,2017,8,9,151347,67477,45991,36947,28172,10044
mltd,yayoi takatsuki,theater,2017,9,11,103398,54179,43411,36993,25865,4031
mltd,yuriko nanao,theater,2017,9,11,135591,56477,41397,36207,23472,2942
mltd,shizuka mogami,tour,2017,10,11,371237,137697,83660,65680,51883,8304
mltd,rio momose,theater,2017,11,9,88037,44374,36350,26413,18029,1451
mltd,ibuki tsubasa,tour,2017,11,9,207072,72108,51044,40866,30620,1364
mltd,mami futami,theater,2017,12,8,87912,41800,33099,22928,14889,613
mltd,kasuga mirai,tour,2017,12,9,284240,79122,55386,43884,32622,1460
mltd,arisa matsuda,theater,2018,1,7,123222,54202,40630,32449,20195,1213
mltd,nikaido chizuru,tour,2018,1,7,161014,68412,52578,41312,28060,1556
mltd,iori minase,theater,2018,1,8,197135,69542,5152,37159,23018,786
mltd,shimabara elena,tour,2018,2,9,303366,93871,59697,50028,36252,1440
mltd,hoshii miki,theater,2018,3,9,317690,96836,55568,42724,30196,1976
mltd,nakatani iku,tour,2018,3,8,149580,67752,52554,41714,30018,1072
mltd,tanaka kotoha,theater,2018,4,8,362962,103541,57721,44193,31049,1697
mltd,makabe mizuki,tour,2018,4,9,394587,114120,64842,51326,40160,2150
mltd,ayumi maihama,theater,2018,5,8,102704,55400,46603,36562,21042,622
mltd,sakuramori kaori,tour,2018,5,9,394538,112870,67280,53591,44212,3730
mltd,emily stewart,theater,2018,6,8,166854,75049,51818,35256,30255,3954
mltd,takayama sayoko,tour,2018,6,8,206680,89168,57601,42226,32787,5920
mltd,nagayoshi subaru,tour,2018,7,9,193671,91396,60645,46238,35456,16906
mltd,kana yabuki,theater,2018,8,9,145371,72238,52361,38190,30893,8945
mltd,kousaka umi,tour,2018,8,9,276096,96842,59450,44847,34316,10743
mltd,tenkubashi tomoka,theater,2018,9,8,290383,108114,58793,40989,31077,6456
mltd,sakuramori kaori,tour,2018,9,8,343241,104320,59154,407575,31940,10100
mltd,hakozaki serika,theater,2018,10,9,249112,90199,55344,40007,31596,8457
mltd,tanaka kotoha,tour,2018,10,9,814482,188906,77432,50882,37380,15884
mltd,ogami tamaki,theater,2018,11,8,139831,65452,51018,34046,30310,4171
mltd,julia,tour,2018,11,8,348456,106442,59420,41588,32194,7874
mltd,hibiki ganaha,theater,2018,12,9,198303,76067,52463,37435,30873,3817
mltd,shinomiya karen,tour,2018,12,8,202090,92868,71596,44174,32682,10512
mltd,tokoro megumi,theater,2019,1,8,286453,109531,71607,40635,31769,10913
mltd,tokugawa matsuri,tour,2019,1,8,339632,110872,60255,41920,32382,11054
mltd,mochizuki anna,theater,2019,2,9,515959,144266,61623,41196,32010,8447
mltd,handa roco,tour,2019,2,8,261305,82652,54611,39256,31476,5440
mltd,fukuda noriko,theater,2019,3,7,138509,63137,50561,32753,30301,2658
mltd,kinoshita hinata,tour,2019,4,7,152860,67806,51646,34586,30492,2386
mltd,shiraishi tsumugi,theater,2019,4,9,284359,99038,56715,40626,32051,9591

