game,ranking_idol,event_type,year,month,duration,t1_cutoff,t2_cutoff,t3_cutoff,t4_cutoff,t5_cutoff,t6_cutoff
mltd,amami haruka,anniv,2018,6,14,1156358,136437,123212,,,
mltd,kisaragi chihaya,anniv,2018,6,14,1193282,167612,157201,,,
mltd,hoshi miki,anniv,2018,6,14,1363781,172457,164464,,,
mltd,hagiwara yukiho,anniv,2018,6,14,963271,116070,100014,,,
mltd,takatsuki yayoi,anniv,2018,6,14,919576,100530,86908,,,
mltd,kikuchi makoto,anniv,2018,6,14,686744,115615,105209,,,
mltd,minase iori,anniv,2018,6,14,1013981,115253,102902,,,
mltd,shijou takane,anniv,2018,6,14,990321,126005,116305,,,
mltd,akizuki ritsuko,anniv,2018,6,14,580164,76863,58414,,,
mltd,miura azusa,anniv,2018,6,14,619577,83957,70105,,,
mltd,futami ami,anniv,2018,6,14,309601,51761,33488,,,
mltd,futami mami,anniv,2018,6,14,410806,63487,46574,,,
mltd,ganaha hibiki,anniv,2018,6,14,999436,120281,110149,,,
mltd,kasuga mirai,anniv,2018,6,14,1000775,107896,93257,,,
mltd,mogami shizuka,anniv,2018,6,14,1111863,142110,129369,,,
mltd,ibuki tsubasa,anniv,2018,6,14,896723,116706,108905,,,
mltd,tanaka kotoha,anniv,2018,6,14,1593963,188394,177163,,,
mltd,shimabara elena,anniv,2018,6,14,689634,80029,64346,,,
mltd,satake minako,anniv,2018,6,14,944263,103049,86884,,,
mltd,tokoro megumi,anniv,2018,6,14,1333909,137990,126977,,,
mltd,tokugawa matsuri,anniv,2018,6,14,1044976,116592,107647,,,
mltd,hakozaki serika,anniv,2018,6,14,1510950,177691,166907,,,
mltd,nonohara akane,anniv,2018,6,14,744343,76799,59212,,,
mltd,mochizuki anna,anniv,2018,6,14,1634520,253607,239914,,,
mltd,handa roco,anniv,2018,6,14,957071,87834,71374,,,
mltd,nanao yuriko,anniv,2018,6,14,1767193,186695,176218,,,
mltd,takayama sayoko,anniv,2018,6,14,727323,90980,79447,,,
mltd,matsuda arisa,anniv,2018,6,14,695796,75715,57318,,,
mltd,kousaka umi,anniv,2018,6,14,923162,104132,94525,,,
mltd,nakatani iku,anniv,2018,6,14,540070,71578,51116,,,
mltd,tenkubashi tomoka,anniv,2018,6,14,1108480,98570,85450,,,
mltd,emily stewart,anniv,2018,6,14,792217,92830,80585,,,
mltd,kitazawa shiho,anniv,2018,6,14,1331150,164217,154901,,,
mltd,maihama ayumu,anniv,2018,6,14,361828,54376,34833,,,
mltd,kinoshita hinata,anniv,2018,6,14,491980,71577,50085,,,
mltd,yabuki kana,anniv,2018,6,14,811182,76192,52152,,,
mltd,yokoyama nao,anniv,2018,6,14,893717,117171,108225,,,
mltd,nikaido chizuru,anniv,2018,6,14,642496,80310,62002,,,
mltd,konomi baba,anniv,2018,6,14,1264027,140636,131761,,,
mltd,ogami tamaki,anniv,2018,6,14,593672,68409,48795,,,
mltd,toyokawa fuuka,anniv,2018,6,14,738221,89562,76879,,,
mltd,miyao miya,anniv,2018,6,14,1001134,106059,95839,,,
mltd,fukuda noriko,anniv,2018,6,14,401803,62162,39233,,,
mltd,makabe mizuki,anniv,2018,6,14,1368353,157261,153067,,,
mltd,shinomiya karen,anniv,2018,6,14,651958,83381,64601,,,
mltd,momose rio,anniv,2018,6,14,937514,94088,81908,,,
mltd,nagayoshi subaru,anniv,2018,6,14,693485,89005,75917,,,
mltd,kitakami reika,anniv,2018,6,14,812675,94186,84165,,,
mltd,suou momoko,anniv,2018,6,14,1476481,148366,140153,,,
mltd,julia,anniv,2018,6,14,978608,111298,100722,,,
mltd,shiraishi tsumugi,anniv,2018,6,14,1492111,169142,159549,,,
mltd,sakuramori kaori,anniv,2018,6,14,1045018,166888,158588,,,
mltd,kitazawa shiho,theater,2017,8,9,151347,67477,45991,36947,28172,10044
mltd,takatsuki yayoi,theater,2017,9,11,103398,54179,43411,36993,25865,4031
mltd,nanao yuriko,theater,2017,9,11,135591,56477,41397,36207,23472,2942
mltd,mogami shizuka,tour,2017,10,11,371237,137697,83660,65680,51883,8304
mltd,momose rio,theater,2017,11,9,88037,44374,36350,26413,18029,1451
mltd,ibuki tsubasa,tour,2017,11,9,207072,72108,51044,40866,30620,1364
mltd,futami mami,theater,2017,12,8,87912,41800,33099,22928,14889,613
mltd,kasuga mirai,tour,2017,12,9,284240,79122,55386,43884,32622,1460
mltd,matsuda arisa,theater,2018,1,7,123222,54202,40630,32449,20195,1213
mltd,nikaido chizuru,tour,2018,1,7,161014,68412,52578,41312,28060,1556
mltd,minase iori,theater,2018,1,8,197135,69542,5152,37159,23018,786
mltd,shimabara elena,tour,2018,2,9,303366,93871,59697,50028,36252,1440
mltd,hoshi miki,theater,2018,3,9,317690,96836,55568,42724,30196,1976
mltd,nakatani iku,tour,2018,3,8,149580,67752,52554,41714,30018,1072
mltd,tanaka kotoha,theater,2018,4,8,362962,103541,57721,44193,31049,1697
mltd,makabe mizuki,tour,2018,4,9,394587,114120,64842,51326,40160,2150
mltd,maihama ayumu,theater,2018,5,8,102704,55400,46603,36562,21042,622
mltd,sakuramori kaori,tour,2018,5,9,394538,112870,67280,53591,44212,3730
mltd,emily stewart,theater,2018,6,8,166854,75049,51818,35256,30255,3954
mltd,takayama sayoko,tour,2018,6,8,206680,89168,57601,42226,32787,5920
mltd,nagayoshi subaru,tour,2018,7,9,193671,91396,60645,46238,35456,16906
mltd,yabuki kana,theater,2018,8,9,145371,72238,52361,38190,30893,8945
mltd,kousaka umi,tour,2018,8,9,276096,96842,59450,44847,34316,10743
mltd,tenkubashi tomoka,theater,2018,9,8,290383,108114,58793,40989,31077,6456
mltd,sakuramori kaori,tour,2018,9,8,343241,104320,59154,407575,31940,10100
mltd,hakozaki serika,theater,2018,10,9,249112,90199,55344,40007,31596,8457
mltd,tanaka kotoha,tour,2018,10,9,814482,188906,77432,50882,37380,15884
mltd,ogami tamaki,theater,2018,11,8,139831,65452,51018,34046,30310,4171
mltd,julia,tour,2018,11,8,348456,106442,59420,41588,32194,7874
mltd,ganaha hibiki,theater,2018,12,9,198303,76067,52463,37435,30873,3817
mltd,shinomiya karen,tour,2018,12,8,202090,92868,71596,44174,32682,10512
mltd,tokoro megumi,theater,2019,1,8,286453,109531,71607,40635,31769,10913
mltd,tokugawa matsuri,tour,2019,1,8,339632,110872,60255,41920,32382,11054
mltd,mochizuki anna,theater,2019,2,9,515959,144266,61623,41196,32010,8447
mltd,handa roco,tour,2019,2,8,261305,82652,54611,39256,31476,5440
mltd,fukuda noriko,theater,2019,3,7,138509,63137,50561,32753,30301,2658
mltd,kinoshita hinata,tour,2019,4,7,152860,67806,51646,34586,30492,2386
mltd,shiraishi tsumugi,theater,2019,4,9,284359,99038,56715,40626,32051,9591
